listing_id,hash_id,locality_string,country,reason_bucket
91,2644599628,Dubaj,Česká republika,foreign_or_incomplete_admin_area
1238,3095101516,Živogošće,Česká republika,foreign_or_incomplete_admin_area
1258,4080111692,Torrevieja,Česká republika,foreign_or_incomplete_admin_area
1560,2461962316,Ražanj,Česká republika,foreign_or_incomplete_admin_area
1752,3761938508,Los Alcázares,Česká republika,foreign_or_incomplete_admin_area
1753,2870779980,Villamartín,Česká republika,foreign_or_incomplete_admin_area
1754,668700748,Guardamar del Segura,Česká republika,foreign_or_incomplete_admin_area
1755,461279308,Orihuela,Česká republika,foreign_or_incomplete_admin_area
1756,1162776652,San Luis,Česká republika,foreign_or_incomplete_admin_area
1822,2829836364,Salála,Česká republika,foreign_or_incomplete_admin_area
1941,183545932,San Miguel de Salinas,Česká republika,foreign_or_incomplete_admin_area
1942,1611370572,Rojales,Česká republika,foreign_or_incomplete_admin_area
1943,4010512460,Rojales,Česká republika,foreign_or_incomplete_admin_area
1944,886804556,Murcia City,Česká republika,foreign_or_incomplete_admin_area
1945,1179553868,Algorfa,Česká republika,foreign_or_incomplete_admin_area
1946,3437334604,Orihuela,Česká republika,foreign_or_incomplete_admin_area
1950,515629132,Orihuela,Česká republika,foreign_or_incomplete_admin_area
1968,213639244,Rojales,Česká republika,foreign_or_incomplete_admin_area
1973,2811211852,Stinica,Česká republika,foreign_or_incomplete_admin_area
2015,3914475340,Mayrhofen,Česká republika,foreign_or_incomplete_admin_area
2023,333280076,Vir,Česká republika,foreign_or_incomplete_admin_area
